raw_organism,raw_drug,canonical_organism,canonical_drug
candida fabianii,caspofungin (clsi),candida fabianii,caspofungin (clsi)
candida fabianii,fluconazole (clsi),candida fabianii,fluconazole (clsi)
candida fabianii,itraconazole (clsi),candida fabianii,itraconazole (clsi)
candida fabianii,micafungin (clsi),candida fabianii,micafungin (clsi)
candida fabianii,posaconazole (clsi),candida fabianii,posaconazole (clsi)
candida fabianii,uid,candida fabianii,uid
candida fabianii,voriconazole (clsi),candida fabianii,voriconazole (clsi)
candida fermentati,amphotericin b (clsi),candida fermentati,amphotericin b (clsi)
candida fermentati,anidulafungin (clsi),candida fermentati,anidulafungin (clsi)
candida fermentati,caspofungin (clsi),candida fermentati,caspofungin (clsi)
candida fermentati,fluconazole (clsi),candida fermentati,fluconazole (clsi)
candida fermentati,itraconazole (clsi),candida fermentati,itraconazole (clsi)
candida fermentati,micafungin (clsi),candida fermentati,micafungin (clsi)
candida fermentati,posaconazole (clsi),candida fermentati,posaconazole (clsi)
candida fermentati,uid,candida fermentati,uid
candida fermentati,voriconazole (clsi),candida fermentati,voriconazole (clsi)
candida fluviatilis,amphotericin b (clsi),candida fluviatilis,amphotericin b (clsi)
candida fluviatilis,anidulafungin (clsi),candida fluviatilis,anidulafungin (clsi)
candida fluviatilis,caspofungin (clsi),candida fluviatilis,caspofungin (clsi)
candida fluviatilis,fluconazole (clsi),candida fluviatilis,fluconazole (clsi)
candida fluviatilis,itraconazole (clsi),candida fluviatilis,itraconazole (clsi)
candida fluviatilis,micafungin (clsi),candida fluviatilis,micafungin (clsi)
candida fluviatilis,posaconazole (clsi),candida fluviatilis,posaconazole (clsi)
candida fluviatilis,uid,candida fluviatilis,uid
candida fluviatilis,voriconazole (clsi),candida fluviatilis,voriconazole (clsi)
candida glabrata,amphotericin b (clsi),candida glabrata,amphotericin b (clsi)
candida glabrata,anidulafungin (clsi),candida glabrata,anidulafungin (clsi)
candida glabrata,caspofungin (clsi),candida glabrata,caspofungin (clsi)
candida glabrata,fluconazole (clsi),candida glabrata,fluconazole (clsi)
candida glabrata,itraconazole (clsi),candida glabrata,itraconazole (clsi)
candida glabrata,micafungin (clsi),candida glabrata,micafungin (clsi)
candida glabrata,posaconazole (clsi),candida glabrata,posaconazole (clsi)
candida glabrata,uid,candida glabrata,uid
candida glabrata,voriconazole (clsi),candida glabrata,voriconazole (clsi)
candida guilliermondii,amphotericin b (clsi),candida guilliermondii,amphotericin b (clsi)
candida guilliermondii,anidulafungin (clsi),candida guilliermondii,anidulafungin (clsi)
candida guilliermondii,caspofungin (clsi),candida guilliermondii,caspofungin (clsi)
candida guilliermondii,fluconazole (clsi),candida guilliermondii,fluconazole (clsi)
candida guilliermondii,itraconazole (clsi),candida guilliermondii,itraconazole (clsi)
candida guilliermondii,micafungin (clsi),candida guilliermondii,micafungin (clsi)
candida guilliermondii,posaconazole (clsi),candida guilliermondii,posaconazole (clsi)
candida guilliermondii,uid,candida guilliermondii,uid
candida guilliermondii,voriconazole (clsi),candida guilliermondii,voriconazole (clsi)
candida haemulonii,amphotericin b (clsi),candida haemulonii,amphotericin b (clsi)
candida haemulonii,anidulafungin (clsi),candida haemulonii,anidulafungin (clsi)
candida haemulonii,caspofungin (clsi),candida haemulonii,caspofungin (clsi)
candida haemulonii,fluconazole (clsi),candida haemulonii,fluconazole (clsi)
candida haemulonii,itraconazole (clsi),candida haemulonii,itraconazole (clsi)
candida haemulonii,micafungin (clsi),candida haemulonii,micafungin (clsi)
candida haemulonii,posaconazole (clsi),candida haemulonii,posaconazole (clsi)
candida haemulonii,uid,candida haemulonii,uid
candida haemulonii,voriconazole (clsi),candida haemulonii,voriconazole (clsi)
candida inconspicua,amphotericin b (clsi),candida inconspicua,amphotericin b (clsi)
candida inconspicua,anidulafungin (clsi),candida inconspicua,anidulafungin (clsi)
candida inconspicua,caspofungin (clsi),candida inconspicua,caspofungin (clsi)
candida inconspicua,fluconazole (clsi),candida inconspicua,fluconazole (clsi)
candida inconspicua,itraconazole (clsi),candida inconspicua,itraconazole (clsi)
candida inconspicua,micafungin (clsi),candida inconspicua,micafungin (clsi)
candida inconspicua,posaconazole (clsi),candida inconspicua,posaconazole (clsi)
candida inconspicua,uid,candida inconspicua,uid
candida inconspicua,voriconazole (clsi),candida inconspicua,voriconazole (clsi)
candida inconspicua/pichia cactophila,amphotericin b (clsi),candida inconspicua/pichia cactophila,amphotericin b (clsi)
candida inconspicua/pichia cactophila,anidulafungin (clsi),candida inconspicua/pichia cactophila,anidulafungin (clsi)
candida inconspicua/pichia cactophila,caspofungin (clsi),candida inconspicua/pichia cactophila,caspofungin (clsi)
candida inconspicua/pichia cactophila,fluconazole (clsi),candida inconspicua/pichia cactophila,fluconazole (clsi)
candida inconspicua/pichia cactophila,itraconazole (clsi),candida inconspicua/pichia cactophila,itraconazole (clsi)
candida inconspicua/pichia cactophila,micafungin (clsi),candida inconspicua/pichia cactophila,micafungin (clsi)
candida inconspicua/pichia cactophila,posaconazole (clsi),candida inconspicua/pichia cactophila,posaconazole (clsi)
candida inconspicua/pichia cactophila,uid,candida inconspicua/pichia cactophila,uid
candida inconspicua/pichia cactophila,voriconazole (clsi),candida inconspicua/pichia cactophila,voriconazole (clsi)
candida intermedia,amphotericin b (clsi),candida intermedia,amphotericin b (clsi)
candida intermedia,anidulafungin (clsi),candida intermedia,anidulafungin (clsi)
candida intermedia,fluconazole (clsi),candida intermedia,fluconazole (clsi)
candida intermedia,itraconazole (clsi),candida intermedia,itraconazole (clsi)
candida intermedia,micafungin (clsi),candida intermedia,micafungin (clsi)
candida intermedia,posaconazole (clsi),candida intermedia,posaconazole (clsi)
candida intermedia,uid,candida intermedia,uid
candida intermedia,voriconazole (clsi),candida intermedia,voriconazole (clsi)
candida kefyr,amphotericin b (clsi),candida kefyr,amphotericin b (clsi)
candida kefyr,anidulafungin (clsi),candida kefyr,anidulafungin (clsi)
candida kefyr,caspofungin (clsi),candida kefyr,caspofungin (clsi)
candida kefyr,fluconazole (clsi),candida kefyr,fluconazole (clsi)
candida kefyr,itraconazole (clsi),candida kefyr,itraconazole (clsi)
candida kefyr,micafungin (clsi),candida kefyr,micafungin (clsi)
candida kefyr,posaconazole (clsi),candida kefyr,posaconazole (clsi)
candida kefyr,uid,candida kefyr,uid
candida kefyr,voriconazole (clsi),candida kefyr,voriconazole (clsi)
candida krusei,amphotericin b (clsi),candida krusei,amphotericin b (clsi)
candida krusei,anidulafungin (clsi),candida krusei,anidulafungin (clsi)
candida krusei,caspofungin (clsi),candida krusei,caspofungin (clsi)
candida krusei,fluconazole (clsi),candida krusei,fluconazole (clsi)
candida krusei,itraconazole (clsi),candida krusei,itraconazole (clsi)
candida krusei,micafungin (clsi),candida krusei,micafungin (clsi)
candida krusei,posaconazole (clsi),candida krusei,posaconazole (clsi)
candida krusei,uid,candida krusei,uid
candida krusei,voriconazole (clsi),candida krusei,voriconazole (clsi)
candida lipolytica,amphotericin b (clsi),candida lipolytica,amphotericin b (clsi)
candida lipolytica,anidulafungin (clsi),candida lipolytica,anidulafungin (clsi)
candida lipolytica,caspofungin (clsi),candida lipolytica,caspofungin (clsi)
candida lipolytica,fluconazole (clsi),candida lipolytica,fluconazole (clsi)
candida lipolytica,itraconazole (clsi),candida lipolytica,itraconazole (clsi)
candida lipolytica,micafungin (clsi),candida lipolytica,micafungin (clsi)
candida lipolytica,posaconazole (clsi),candida lipolytica,posaconazole (clsi)
candida lipolytica,uid,candida lipolytica,uid
candida lipolytica,voriconazole (clsi),candida lipolytica,voriconazole (clsi)
candida lusitaniae,amphotericin b (clsi),candida lusitaniae,amphotericin b (clsi)
candida lusitaniae,anidulafungin (clsi),candida lusitaniae,anidulafungin (clsi)
candida lusitaniae,caspofungin (clsi),candida lusitaniae,caspofungin (clsi)
candida lusitaniae,fluconazole (clsi),candida lusitaniae,fluconazole (clsi)
candida lusitaniae,itraconazole (clsi),candida lusitaniae,itraconazole (clsi)
candida lusitaniae,micafungin (clsi),candida lusitaniae,micafungin (clsi)
candida lusitaniae,posaconazole (clsi),candida lusitaniae,posaconazole (clsi)
candida lusitaniae,uid,candida lusitaniae,uid
candida lusitaniae,voriconazole (clsi),candida lusitaniae,voriconazole (clsi)
candida metapsilosis,amphotericin b (clsi),candida metapsilosis,amphotericin b (clsi)
candida metapsilosis,anidulafungin (clsi),candida metapsilosis,anidulafungin (clsi)
candida metapsilosis,caspofungin (clsi),candida metapsilosis,caspofungin (clsi)
candida metapsilosis,fluconazole (clsi),candida metapsilosis,fluconazole (clsi)
candida metapsilosis,itraconazole (clsi),candida metapsilosis,itraconazole (clsi)
candida metapsilosis,micafungin (clsi),candida metapsilosis,micafungin (clsi)
candida metapsilosis,posaconazole (clsi),candida metapsilosis,posaconazole (clsi)
candida metapsilosis,uid,candida metapsilosis,uid
candida metapsilosis,voriconazole (clsi),candida metapsilosis,voriconazole (clsi)
candida nivariensis,amphotericin b (clsi),candida nivariensis,amphotericin b (clsi)
candida nivariensis,anidulafungin (clsi),candida nivariensis,anidulafungin (clsi)
candida nivariensis,caspofungin (clsi),candida nivariensis,caspofungin (clsi)
candida nivariensis,fluconazole (clsi),candida nivariensis,fluconazole (clsi)
candida nivariensis,itraconazole (clsi),candida nivariensis,itraconazole (clsi)
candida nivariensis,micafungin (clsi),candida nivariensis,micafungin (clsi)
candida nivariensis,posaconazole (clsi),candida nivariensis,posaconazole (clsi)
candida nivariensis,uid,candida nivariensis,uid
candida nivariensis,voriconazole (clsi),candida nivariensis,voriconazole (clsi)
candida norvegensis,amphotericin b (clsi),candida norvegensis,amphotericin b (clsi)
candida norvegensis,anidulafungin (clsi),candida norvegensis,anidulafungin (clsi)
candida norvegensis,caspofungin (clsi),candida norvegensis,caspofungin (clsi)
candida norvegensis,fluconazole (clsi),candida norvegensis,fluconazole (clsi)
candida norvegensis,itraconazole (clsi),candida norvegensis,itraconazole (clsi)
candida norvegensis,micafungin (clsi),candida norvegensis,micafungin (clsi)
candida norvegensis,posaconazole (clsi),candida norvegensis,posaconazole (clsi)
candida norvegensis,uid,candida norvegensis,uid
candida norvegensis,voriconazole (clsi),candida norvegensis,voriconazole (clsi)
candida orthopsilosis,amphotericin b (clsi),candida orthopsilosis,amphotericin b (clsi)
candida orthopsilosis,anidulafungin (clsi),candida orthopsilosis,anidulafungin (clsi)
candida orthopsilosis,caspofungin (clsi),candida orthopsilosis,caspofungin (clsi)
candida orthopsilosis,fluconazole (clsi),candida orthopsilosis,fluconazole (clsi)
candida orthopsilosis,itraconazole (clsi),candida orthopsilosis,itraconazole (clsi)
candida orthopsilosis,micafungin (clsi),candida orthopsilosis,micafungin (clsi)
candida orthopsilosis,posaconazole (clsi),candida orthopsilosis,posaconazole (clsi)
candida orthopsilosis,uid,candida orthopsilosis,uid
candida orthopsilosis,voriconazole (clsi),candida orthopsilosis,voriconazole (clsi)
candida parapsilosis,amphotericin b (clsi),candida parapsilosis,amphotericin b (clsi)
candida parapsilosis,anidulafungin (clsi),candida parapsilosis,anidulafungin (clsi)
candida parapsilosis,caspofungin (clsi),candida parapsilosis,caspofungin (clsi)
candida parapsilosis,fluconazole (clsi),candida parapsilosis,fluconazole (clsi)
candida parapsilosis,itraconazole (clsi),candida parapsilosis,itraconazole (clsi)
candida parapsilosis,micafungin (clsi),candida parapsilosis,micafungin (clsi)
candida parapsilosis,posaconazole (clsi),candida parapsilosis,posaconazole (clsi)
candida parapsilosis,uid,candida parapsilosis,uid
candida parapsilosis,voriconazole (clsi),candida parapsilosis,voriconazole (clsi)
candida pararugosa,amphotericin b (clsi),candida pararugosa,amphotericin b (clsi)
candida pararugosa,anidulafungin (clsi),candida pararugosa,anidulafungin (clsi)
candida pararugosa,caspofungin (clsi),candida pararugosa,caspofungin (clsi)
candida pararugosa,fluconazole (clsi),candida pararugosa,fluconazole (clsi)
candida pararugosa,itraconazole (clsi),candida pararugosa,itraconazole (clsi)
candida pararugosa,micafungin (clsi),candida pararugosa,micafungin (clsi)
candida pararugosa,posaconazole (clsi),candida pararugosa,posaconazole (clsi)
candida pararugosa,uid,candida pararugosa,uid
candida pararugosa,voriconazole (clsi),candida pararugosa,voriconazole (clsi)
candida pelliculosa,amphotericin b (clsi),candida pelliculosa,amphotericin b (clsi)
candida pelliculosa,anidulafungin (clsi),candida pelliculosa,anidulafungin (clsi)
candida pelliculosa,caspofungin (clsi),candida pelliculosa,caspofungin (clsi)
candida pelliculosa,fluconazole (clsi),candida pelliculosa,fluconazole (clsi)
candida pelliculosa,itraconazole (clsi),candida pelliculosa,itraconazole (clsi)
candida pelliculosa,micafungin (clsi),candida pelliculosa,micafungin (clsi)
candida pelliculosa,posaconazole (clsi),candida pelliculosa,posaconazole (clsi)
candida pelliculosa,uid,candida pelliculosa,uid
candida pelliculosa,voriconazole (clsi),candida pelliculosa,voriconazole (clsi)
candida pseudohaemulonii,amphotericin b (clsi),candida pseudohaemulonii,amphotericin b (clsi)
candida pseudohaemulonii,anidulafungin (clsi),candida pseudohaemulonii,anidulafungin (clsi)
candida pseudohaemulonii,caspofungin (clsi),candida pseudohaemulonii,caspofungin (clsi)
candida pseudohaemulonii,fluconazole (clsi),candida pseudohaemulonii,fluconazole (clsi)
candida pseudohaemulonii,itraconazole (clsi),candida pseudohaemulonii,itraconazole (clsi)
candida pseudohaemulonii,micafungin (clsi),candida pseudohaemulonii,micafungin (clsi)
candida pseudohaemulonii,posaconazole (clsi),candida pseudohaemulonii,posaconazole (clsi)
candida pseudohaemulonii,uid,candida pseudohaemulonii,uid
candida pseudohaemulonii,voriconazole (clsi),candida pseudohaemulonii,voriconazole (clsi)
candida quercitrusa,amphotericin b (clsi),candida quercitrusa,amphotericin b (clsi)
candida quercitrusa,anidulafungin (clsi),candida quercitrusa,anidulafungin (clsi)
candida quercitrusa,caspofungin (clsi),candida quercitrusa,caspofungin (clsi)
candida quercitrusa,fluconazole (clsi),candida quercitrusa,fluconazole (clsi)
candida quercitrusa,itraconazole (clsi),candida quercitrusa,itraconazole (clsi)
candida quercitrusa,micafungin (clsi),candida quercitrusa,micafungin (clsi)
candida quercitrusa,posaconazole (clsi),candida quercitrusa,posaconazole (clsi)
candida quercitrusa,uid,candida quercitrusa,uid
candida quercitrusa,voriconazole (clsi),candida quercitrusa,voriconazole (clsi)
candida rugosa,amphotericin b (clsi),candida rugosa,amphotericin b (clsi)
candida rugosa,anidulafungin (clsi),candida rugosa,anidulafungin (clsi)
candida rugosa,caspofungin (clsi),candida rugosa,caspofungin (clsi)
candida rugosa,fluconazole (clsi),candida rugosa,fluconazole (clsi)
candida rugosa,itraconazole (clsi),candida rugosa,itraconazole (clsi)
candida rugosa,micafungin (clsi),candida rugosa,micafungin (clsi)
candida rugosa,posaconazole (clsi),candida rugosa,posaconazole (clsi)
candida rugosa,uid,candida rugosa,uid
candida rugosa,voriconazole (clsi),candida rugosa,voriconazole (clsi)
candida sojae,amphotericin b (clsi),candida sojae,amphotericin b (clsi)
candida sojae,anidulafungin (clsi),candida sojae,anidulafungin (clsi)
candida sojae,caspofungin (clsi),candida sojae,caspofungin (clsi)
candida sojae,fluconazole (clsi),candida sojae,fluconazole (clsi)
candida sojae,itraconazole (clsi),candida sojae,itraconazole (clsi)
candida sojae,micafungin (clsi),candida sojae,micafungin (clsi)
candida sojae,posaconazole (clsi),candida sojae,posaconazole (clsi)
candida sojae,uid,candida sojae,uid
candida sojae,voriconazole (clsi),candida sojae,voriconazole (clsi)
candida spencermartinsiae,amphotericin b (clsi),candida spencermartinsiae,amphotericin b (clsi)
candida spencermartinsiae,anidulafungin (clsi),candida spencermartinsiae,anidulafungin (clsi)
candida spencermartinsiae,caspofungin (clsi),candida spencermartinsiae,caspofungin (clsi)
candida spencermartinsiae,fluconazole (clsi),candida spencermartinsiae,fluconazole (clsi)
candida spencermartinsiae,itraconazole (clsi),candida spencermartinsiae,itraconazole (clsi)
candida spencermartinsiae,micafungin (clsi),candida spencermartinsiae,micafungin (clsi)
candida spencermartinsiae,posaconazole (clsi),candida spencermartinsiae,posaconazole (clsi)
candida spencermartinsiae,uid,candida spencermartinsiae,uid
candida spencermartinsiae,voriconazole (clsi),candida spencermartinsiae,voriconazole (clsi)
candida sphaerica,amphotericin b (clsi),candida sphaerica,amphotericin b (clsi)
candida sphaerica,anidulafungin (clsi),candida sphaerica,anidulafungin (clsi)
candida sphaerica,caspofungin (clsi),candida sphaerica,caspofungin (clsi)
candida sphaerica,fluconazole (clsi),candida sphaerica,fluconazole (clsi)
candida sphaerica,itraconazole (clsi),candida sphaerica,itraconazole (clsi)
candida sphaerica,micafungin (clsi),candida sphaerica,micafungin (clsi)
candida sphaerica,posaconazole (clsi),candida sphaerica,posaconazole (clsi)
candida sphaerica,uid,candida sphaerica,uid
candida sphaerica,voriconazole (clsi),candida sphaerica,voriconazole (clsi)
candida thasaenensis,amphotericin b (clsi),candida thasaenensis,amphotericin b (clsi)
candida thasaenensis,anidulafungin (clsi),candida thasaenensis,anidulafungin (clsi)
candida thasaenensis,caspofungin (clsi),candida thasaenensis,caspofungin (clsi)
candida thasaenensis,fluconazole (clsi),candida thasaenensis,fluconazole (clsi)
candida thasaenensis,itraconazole (clsi),candida thasaenensis,itraconazole (clsi)
candida thasaenensis,micafungin (clsi),candida thasaenensis,micafungin (clsi)
candida thasaenensis,posaconazole (clsi),candida thasaenensis,posaconazole (clsi)
candida thasaenensis,uid,candida thasaenensis,uid
candida thasaenensis,voriconazole (clsi),candida thasaenensis,voriconazole (clsi)
candida theae,amphotericin b (clsi),candida theae,amphotericin b (clsi)
candida theae,anidulafungin (clsi),candida theae,anidulafungin (clsi)
candida theae,caspofungin (clsi),candida theae,caspofungin (clsi)
candida theae,fluconazole (clsi),candida theae,fluconazole (clsi)
candida theae,itraconazole (clsi),candida theae,itraconazole (clsi)
candida theae,micafungin (clsi),candida theae,micafungin (clsi)
candida theae,posaconazole (clsi),candida theae,posaconazole (clsi)
candida theae,uid,candida theae,uid
candida theae,voriconazole (clsi),candida theae,voriconazole (clsi)
candida tropicalis,amphotericin b (clsi),candida tropicalis,amphotericin b (clsi)
candida tropicalis,anidulafungin (clsi),candida tropicalis,anidulafungin (clsi)
candida tropicalis,caspofungin (clsi),candida tropicalis,caspofungin (clsi)
candida tropicalis,fluconazole (clsi),candida tropicalis,fluconazole (clsi)
candida tropicalis,itraconazole (clsi),candida tropicalis,itraconazole (clsi)
candida tropicalis,micafungin (clsi),candida tropicalis,micafungin (clsi)
candida tropicalis,posaconazole (clsi),candida tropicalis,posaconazole (clsi)
candida tropicalis,uid,candida tropicalis,uid
candida tropicalis,voriconazole (clsi),candida tropicalis,voriconazole (clsi)
candida utilis,amphotericin b (clsi),candida utilis,amphotericin b (clsi)
candida utilis,anidulafungin (clsi),candida utilis,anidulafungin (clsi)
candida utilis,caspofungin (clsi),candida utilis,caspofungin (clsi)
candida utilis,fluconazole (clsi),candida utilis,fluconazole (clsi)
candida utilis,itraconazole (clsi),candida utilis,itraconazole (clsi)
candida utilis,micafungin (clsi),candida utilis,micafungin (clsi)
candida utilis,posaconazole (clsi),candida utilis,posaconazole (clsi)
candida utilis,uid,candida utilis,uid
candida utilis,voriconazole (clsi),candida utilis,voriconazole (clsi)
citrobacter amalonaticus,caz_mic,citrobacter amalonaticus,caz_mic
citrobacter amalonaticus,collection number,citrobacter amalonaticus,collection number
citrobacter amalonaticus,fep_mic,citrobacter amalonaticus,fep_mic
citrobacter amalonaticus,gm_mic,citrobacter amalonaticus,gm_mic
citrobacter amalonaticus,levofloxacin,citrobacter amalonaticus,levofloxacin
citrobacter amalonaticus,lvx_mic,citrobacter amalonaticus,lvx_mic
citrobacter amalonaticus,mem_mic,citrobacter amalonaticus,mem_mic
citrobacter amalonaticus,omadacycline,citrobacter amalonaticus,eravacycline
citrobacter amalonaticus,study year,citrobacter amalonaticus,study year
citrobacter amalonaticus,tigecycline,citrobacter amalonaticus,tigecycline
citrobacter amalonaticus,tzp_mic,citrobacter amalonaticus,tzp_mic
citrobacter amalonaticus / farmeri,collection number,citrobacter amalonaticus / farmeri,collection number
citrobacter amalonaticus / farmeri,levofloxacin,citrobacter amalonaticus / farmeri,levofloxacin
citrobacter amalonaticus / farmeri,omadacycline,citrobacter amalonaticus / farmeri,eravacycline
citrobacter amalonaticus / farmeri,study year,citrobacter amalonaticus / farmeri,study year
citrobacter amalonaticus / farmeri,tigecycline,citrobacter amalonaticus / farmeri,tigecycline
citrobacter braakii,caz_mic,citrobacter braakii,caz_mic
citrobacter braakii,collection number,citrobacter braakii,collection number
citrobacter braakii,fep_mic,citrobacter braakii,fep_mic
citrobacter braakii,gm_mic,citrobacter braakii,gm_mic
citrobacter braakii,levofloxacin,citrobacter braakii,levofloxacin
citrobacter braakii,lvx_mic,citrobacter braakii,lvx_mic
citrobacter braakii,mem_mic,citrobacter braakii,mem_mic
citrobacter braakii,omadacycline,citrobacter braakii,eravacycline
citrobacter braakii,study year,citrobacter braakii,study year
citrobacter braakii,tigecycline,citrobacter braakii,tigecycline
citrobacter braakii,tzp_mic,citrobacter braakii,tzp_mic
citrobacter diversus,tigecycline,citrobacter diversus,tigecycline
citrobacter farmeri,caz_mic,citrobacter farmeri,caz_mic
citrobacter farmeri,collection number,citrobacter farmeri,collection number
citrobacter farmeri,fep_mic,citrobacter farmeri,fep_mic
citrobacter farmeri,gm_mic,citrobacter farmeri,gm_mic
citrobacter farmeri,levofloxacin,citrobacter farmeri,levofloxacin
citrobacter farmeri,lvx_mic,citrobacter farmeri,lvx_mic
citrobacter farmeri,mem_mic,citrobacter farmeri,mem_mic
citrobacter farmeri,omadacycline,citrobacter farmeri,eravacycline
citrobacter farmeri,study year,citrobacter farmeri,study year
citrobacter farmeri,tigecycline,citrobacter farmeri,tigecycline
citrobacter farmeri,tzp_mic,citrobacter farmeri,tzp_mic
citrobacter freundii,caz_mic,citrobacter freundii,caz_mic
citrobacter freundii,collection number,citrobacter freundii,collection number
citrobacter freundii,fep_mic,citrobacter freundii,fep_mic
citrobacter freundii,gm_mic,citrobacter freundii,gm_mic
citrobacter freundii,levofloxacin,citrobacter freundii,levofloxacin
citrobacter freundii,lvx_mic,citrobacter freundii,lvx_mic
citrobacter freundii,mem_mic,citrobacter freundii,mem_mic
citrobacter freundii,omadacycline,citrobacter freundii,eravacycline
citrobacter freundii,study year,citrobacter freundii,study year
citrobacter freundii,tigecycline,citrobacter freundii,tigecycline
citrobacter freundii,tzp_mic,citrobacter freundii,tzp_mic
citrobacter freundii species complex,collection number,citrobacter freundii species complex,collection number
citrobacter freundii species complex,levofloxacin,citrobacter freundii species complex,levofloxacin
citrobacter freundii species complex,omadacycline,citrobacter freundii species complex,eravacycline
citrobacter freundii species complex,study year,citrobacter freundii species complex,study year
citrobacter freundii species complex,tigecycline,citrobacter freundii species complex,tigecycline
citrobacter gillenii,tigecycline,citrobacter gillenii,tigecycline
citrobacter koseri,caz_mic,acinetobacter species,caz_mic
citrobacter koseri,collection number,acinetobacter species,collection number
citrobacter koseri,fep_mic,acinetobacter species,fep_mic
citrobacter koseri,gm_mic,acinetobacter species,gm_mic
citrobacter koseri,levofloxacin,acinetobacter species,levofloxacin
citrobacter koseri,lvx_mic,acinetobacter species,lvx_mic
citrobacter koseri,mem_mic,acinetobacter species,mem_mic
citrobacter koseri,omadacycline,acinetobacter species,eravacycline
citrobacter koseri,study year,acinetobacter species,study year
citrobacter koseri,tigecycline,acinetobacter species,tigecycline
citrobacter koseri,tzp_mic,acinetobacter species,tzp_mic
citrobacter murliniae,tigecycline,citrobacter murliniae,tigecycline
citrobacter sedlakii,caz_mic,citrobacter sedlakii,caz_mic
citrobacter sedlakii,collection number,citrobacter sedlakii,collection number
citrobacter sedlakii,fep_mic,citrobacter sedlakii,fep_mic
citrobacter sedlakii,gm_mic,citrobacter sedlakii,gm_mic
citrobacter sedlakii,levofloxacin,citrobacter sedlakii,levofloxacin
citrobacter sedlakii,lvx_mic,citrobacter sedlakii,lvx_mic
citrobacter sedlakii,mem_mic,citrobacter sedlakii,mem_mic
citrobacter sedlakii,omadacycline,citrobacter sedlakii,eravacycline
citrobacter sedlakii,study year,citrobacter sedlakii,study year
citrobacter sedlakii,tigecycline,citrobacter sedlakii,tigecycline
citrobacter sedlakii,tzp_mic,citrobacter sedlakii,tzp_mic
citrobacter sp,caz_mic,acinetobacter species,caz_mic
citrobacter sp,fep_mic,acinetobacter species,fep_mic
citrobacter sp,gm_mic,acinetobacter species,gm_mic
citrobacter sp,lvx_mic,acinetobacter species,lvx_mic
citrobacter sp,mem_mic,acinetobacter species,mem_mic
citrobacter sp,tzp_mic,acinetobacter species,tzp_mic
citrobacter spp,tigecycline,acinetobacter species,tigecycline
citrobacter youngae,caz_mic,citrobacter youngae,caz_mic
citrobacter youngae,collection number,citrobacter youngae,collection number
citrobacter youngae,fep_mic,citrobacter youngae,fep_mic
citrobacter youngae,gm_mic,citrobacter youngae,gm_mic
citrobacter youngae,lvx_mic,citrobacter youngae,lvx_mic
citrobacter youngae,mem_mic,citrobacter youngae,mem_mic
citrobacter youngae,omadacycline,citrobacter youngae,eravacycline
citrobacter youngae,study year,citrobacter youngae,study year
citrobacter youngae,tigecycline,citrobacter youngae,tigecycline
citrobacter youngae,tzp_mic,citrobacter youngae,tzp_mic
"citrobacter, non-speciated",tigecycline,acinetobacter species,tigecycline
clostridioides difficile,tigecycline,clostridioides difficile,tigecycline
clostridium aldenense,tigecycline,clostridium aldenense,tigecycline
clostridium barati,tigecycline,clostridium barati,tigecycline
clostridium beijerinckii,tigecycline,clostridium beijerinckii,tigecycline
clostridium bifermentans,tigecycline,clostridium bifermentans,tigecycline
clostridium bolteae,tigecycline,clostridium bolteae,tigecycline
clostridium butyricum,tigecycline,clostridium butyricum,tigecycline
clostridium cadaveris,tigecycline,clostridium cadaveris,tigecycline
clostridium celerecrescens,tigecycline,clostridium celerecrescens,tigecycline
clostridium citroniae,tigecycline,clostridium citroniae,tigecycline
clostridium clostridiiformis,tigecycline,clostridium clostridiiformis,tigecycline
clostridium colicanis,tigecycline,clostridium colicanis,tigecycline
clostridium glycolicum,tigecycline,clostridium glycolicum,tigecycline
clostridium hathewayi,tigecycline,clostridium hathewayi,tigecycline
clostridium histolyticum,tigecycline,clostridium histolyticum,tigecycline
clostridium innocuum,tigecycline,clostridium innocuum,tigecycline
clostridium novyia,tigecycline,clostridium novyia,tigecycline
clostridium paraputrificum,tigecycline,clostridium paraputrificum,tigecycline
clostridium perfringens,tigecycline,clostridium perfringens,tigecycline
clostridium putrificum,tigecycline,clostridium putrificum,tigecycline
clostridium ramosum,tigecycline,clostridium ramosum,tigecycline
clostridium septicum,tigecycline,clostridium septicum,tigecycline
clostridium sordellii,tigecycline,clostridium sordellii,tigecycline
clostridium sphenoides,tigecycline,clostridium sphenoides,tigecycline
clostridium sporogenes,tigecycline,clostridium sporogenes,tigecycline
clostridium spp,tigecycline,clostridium spp,tigecycline
clostridium subterminale,tigecycline,clostridium subterminale,tigecycline
clostridium tertium,tigecycline,clostridium tertium,tigecycline
comamonas kerstersii,tigecycline,comamonas kerstersii,tigecycline
coprinellus radians,amphotericin b (clsi),coprinellus radians,amphotericin b (clsi)
coprinellus radians,anidulafungin (clsi),coprinellus radians,anidulafungin (clsi)
coprinellus radians,caspofungin (clsi),coprinellus radians,caspofungin (clsi)
coprinellus radians,itraconazole (clsi),coprinellus radians,itraconazole (clsi)
coprinellus radians,micafungin (clsi),coprinellus radians,micafungin (clsi)
coprinellus radians,posaconazole (clsi),coprinellus radians,posaconazole (clsi)
coprinellus radians,uid,coprinellus radians,uid
coprinellus radians,voriconazole (clsi),coprinellus radians,voriconazole (clsi)
corynebacterium aurimucosum,tigecycline,corynebacterium aurimucosum,tigecycline
